Session: 320,Game:,Wingman,User:,Survivor3
Game No.:,0
Day:,15,Month:,Feb,Year:,2017
Track:,Forest,Speed:,fast,Time:,30 (sec),
Target Angle:,42,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,64.742,False
2,0,53.798,True
3,9,40.221,True
4,8,39.987,True
5,0,29.126,True
6,0,26.487,False
7,0,19.157,True
8,0,69.842,True
9,1,51.008,True
10,6,37.004,True
11,3,34.494,True
12,0,24.061,True
13,0,22.154,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.020,-0.009 | 6.662 | 0.034,0.141 | 6.526 | 0.086,0.017 | 6.498 | 0.115,0.306 | 6.665 | -0.001,-0.182 | 6.548 | 0.003,14.539,53.798,2017-02-15 11:44:03,2,316
0.017,-0.006 | 6.663 | 0.032,0.124 | 6.563 | 0.097,0.030 | 6.489 | 0.106,0.312 | 6.668 | 0.008,-0.172 | 6.546 | 0.004,13.481,53.713,2017-02-15 11:44:03,3,316
0.016,-0.004 | 6.663 | 0.030,0.135 | 6.567 | 0.097,0.032 | 6.484 | 0.106,0.314 | 6.673 | -0.008,-0.169 | 6.544 | 0.004,13.963,54.060,2017-02-15 11:44:03,3,316
0.015,-0.003 | 6.664 | 0.029,0.101 | 6.564 | 0.103,0.026 | 6.481 | 0.104,0.286 | 6.637 | -0.019,-0.174 | 6.544 | 0.004,15.521,42.031,2017-02-15 11:44:03,3,316
0.016,-0.003 | 6.663 | 0.030,0.040 | 6.543 | 0.101,0.017 | 6.500 | 0.101,0.232 | 6.594 | -0.022,-0.187 | 6.548 | -0.002,18.853,24.394,2017-02-15 11:44:04,3,316
0.017,-0.005 | 6.663 | 0.031,0.000 | 6.527 | 0.089,-0.007 | 6.492 | 0.096,0.200 | 6.578 | -0.018,-0.204 | 6.555 | -0.012,22.629,16.229,2017-02-15 11:44:04,3,316
0.017,-0.006 | 6.663 | 0.032,-0.015 | 6.519 | 0.074,-0.020 | 6.487 | 0.090,0.193 | 6.574 | -0.016,-0.213 | 6.561 | -0.016,24.438,14.950,2017-02-15 11:44:04,3,316
0.017,-0.006 | 6.663 | 0.033,-0.017 | 6.517 | 0.068,-0.015 | 6.491 | 0.076,0.193 | 6.574 | -0.016,-0.216 | 6.564 | -0.017,24.677,15.411,2017-02-15 11:44:04,3,316
0.018,-0.006 | 6.663 | 0.033,0.013 | 6.506 | 0.073,-0.001 | 6.508 | 0.069,0.214 | 6.582 | -0.018,-0.212 | 6.562 | -0.014,23.237,21.548,2017-02-15 11:44:04,3,316
0.019,-0.006 | 6.663 | 0.034,0.084 | 6.499 | 0.082,0.021 | 6.514 | 0.085,0.259 | 6.611 | -0.022,-0.193 | 6.553 | 0.001,18.014,35.274,2017-02-15 11:44:05,3,316
0.020,-0.005 | 6.662 | 0.035,0.109 | 6.512 | 0.095,0.034 | 6.500 | 0.096,0.276 | 6.627 | -0.020,-0.179 | 6.546 | 0.012,14.954,40.195,2017-02-15 11:44:05,3,316
0.019,-0.005 | 6.663 | 0.034,0.092 | 6.522 | 0.072,0.035 | 6.490 | 0.098,0.278 | 6.630 | -0.019,-0.175 | 6.544 | 0.012,14.710,40.221,2017-02-15 11:44:05,3,316
