Session: 403,Game:,Wingman,User:,Survivor2
Game No.:,2
Day:,10,Month:,Mar,Year:,2017
Track:,Forest,Speed:,medium,Time:,60 (sec),
Target Angle:,51,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,-2.589,False
2,0,5.774,False
3,0,6.384,False
4,0,3.780,False
5,0,2.910,False
6,0,-7.521,True
7,0,-8.271,True
8,0,2.923,True
9,0,-13.160,True
10,0,3.519,True
11,0,3.432,True
12,0,3.630,True
13,0,3.967,True

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.067,-0.028 | 6.658 | -0.056,0.222 | 6.534 | 0.094,-0.220 | 6.493 | 0.149,0.185 | 6.581 | -0.131,-0.265 | 6.569 | -0.067,27.609,23.816,2017-03-10 10:21:54,1,327
-0.137,-0.006 | 6.668 | -0.119,0.129 | 6.547 | 0.009,-0.082 | 6.394 | -0.068,0.147 | 6.567 | -0.223,-0.179 | 6.566 | -0.194,9.761,8.485,2017-03-10 10:21:55,1,327
-0.217,0.011 | 6.675 | -0.190,0.110 | 6.654 | 0.006,-0.105 | 6.390 | -0.144,0.158 | 6.546 | -0.195,-0.178 | 6.566 | -0.278,14.087,6.312,2017-03-10 10:21:55,1,327
-0.246,0.019 | 6.675 | -0.217,0.097 | 6.712 | -0.004,-0.063 | 6.432 | -0.111,0.160 | 6.554 | -0.164,-0.173 | 6.556 | -0.275,14.279,5.404,2017-03-10 10:21:55,1,327
-0.243,0.020 | 6.674 | -0.214,0.125 | 6.688 | 0.025,-0.071 | 6.399 | -0.091,0.164 | 6.552 | -0.161,-0.153 | 6.550 | -0.248,8.966,6.659,2017-03-10 10:21:55,1,327
-0.228,0.021 | 6.674 | -0.201,0.163 | 6.615 | 0.049,-0.065 | 6.376 | -0.068,0.162 | 6.542 | -0.173,-0.134 | 6.546 | -0.213,3.938,6.383,2017-03-10 10:21:55,1,327
-0.183,0.018 | 6.673 | -0.159,0.212 | 6.515 | 0.034,-0.139 | 6.344 | -0.083,0.165 | 6.548 | -0.192,-0.154 | 6.552 | -0.187,9.945,6.026,2017-03-10 10:21:56,1,327
-0.147,0.017 | 6.666 | -0.127,0.110 | 6.462 | 0.045,-0.145 | 6.446 | 0.007,0.157 | 6.546 | -0.168,-0.163 | 6.565 | -0.193,11.682,4.740,2017-03-10 10:21:56,1,327
-0.135,0.014 | 6.665 | -0.114,0.043 | 6.484 | 0.022,-0.009 | 6.501 | 0.064,0.150 | 6.548 | -0.175,-0.136 | 6.552 | -0.125,3.224,4.445,2017-03-10 10:21:56,1,327
-0.130,0.009 | 6.667 | -0.109,0.035 | 6.499 | 0.016,-0.098 | 6.489 | 0.034,0.147 | 6.553 | -0.181,-0.156 | 6.564 | -0.179,7.809,4.495,2017-03-10 10:21:56,1,327
-0.129,0.001 | 6.668 | -0.107,0.039 | 6.511 | 0.040,-0.072 | 6.548 | 0.040,0.147 | 6.555 | -0.162,-0.149 | 6.560 | -0.180,5.191,5.084,2017-03-10 10:21:56,1,327
-0.130,-0.002 | 6.668 | -0.107,0.020 | 6.589 | 0.056,-0.123 | 6.539 | 0.045,0.143 | 6.557 | -0.139,-0.151 | 6.557 | -0.185,6.515,3.003,2017-03-10 10:21:57,1,327
-0.130,0.020 | 6.669 | -0.106,-0.026 | 6.561 | 0.171,-0.143 | 6.449 | 0.094,0.103 | 6.593 | -0.020,-0.154 | 6.545 | -0.118,12.638,-14.343,2017-03-10 10:21:57,1,327
-0.142,0.017 | 6.670 | -0.120,0.003 | 6.531 | 0.173,-0.137 | 6.368 | 0.035,0.101 | 6.596 | -0.029,-0.162 | 6.543 | -0.116,14.823,-14.626,2017-03-10 10:21:57,1,327
-0.152,0.007 | 6.670 | -0.131,-0.010 | 6.526 | 0.154,-0.149 | 6.367 | 0.049,0.091 | 6.590 | -0.046,-0.176 | 6.544 | -0.101,15.791,-14.382,2017-03-10 10:21:57,1,327
-0.146,-0.005 | 6.669 | -0.128,0.028 | 6.436 | 0.062,-0.216 | 6.417 | 0.029,0.131 | 6.557 | -0.108,-0.189 | 6.548 | -0.162,14.972,0.526,2017-03-10 10:21:58,1,327
-0.123,-0.016 | 6.666 | -0.107,0.024 | 6.515 | 0.114,-0.181 | 6.478 | 0.040,0.132 | 6.556 | -0.089,-0.170 | 6.560 | -0.178,6.782,4.209,2017-03-10 10:21:58,1,327
-0.110,-0.026 | 6.663 | -0.097,0.061 | 6.537 | 0.130,-0.139 | 6.441 | 0.044,0.151 | 6.557 | -0.084,-0.142 | 6.557 | -0.157,-2.589,11.115,2017-03-10 10:21:58,1,327
-0.110,-0.026 | 6.663 | -0.097,0.061 | 6.537 | 0.130,-0.139 | 6.441 | 0.044,0.151 | 6.557 | -0.084,-0.142 | 6.557 | -0.157,-2.589,11.115,2017-03-10 10:21:58,1,327
-0.093,-0.017 | 6.660 | -0.081,0.043 | 6.510 | 0.109,-0.101 | 6.462 | 0.064,0.149 | 6.555 | -0.093,-0.136 | 6.555 | -0.147,-1.530,8.078,2017-03-10 10:21:58,2,327
-0.084,-0.010 | 6.658 | -0.072,0.051 | 6.493 | 0.125,-0.073 | 6.511 | 0.080,0.145 | 6.551 | -0.080,-0.144 | 6.557 | -0.137,1.415,5.886,2017-03-10 10:21:58,2,327
-0.075,-0.010 | 6.655 | -0.065,0.149 | 6.411 | 0.061,-0.046 | 6.456 | 0.070,0.153 | 6.559 | -0.119,-0.146 | 6.550 | -0.118,2.535,7.728,2017-03-10 10:21:59,2,327
-0.061,-0.020 | 6.646 | -0.049,0.098 | 6.400 | 0.068,-0.050 | 6.473 | 0.104,0.119 | 6.546 | -0.112,-0.128 | 6.529 | -0.108,-3.289,0.837,2017-03-10 10:21:59,2,327
