Session: 146,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,18,Month:,Sep,Year:,2017
Track:,Forest,Speed:,slow,Time:,120 (sec),
Target Angle:,45,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,10,45.242,False
2,9,43.640,False
3,10,44.356,False
4,10,44.483,False
5,10,44.648,False
6,10,44.478,False
7,7,41.365,False
8,10,45.282,False
9,9,46.337,False
10,3,52.271,False
11,10,44.515,False
12,10,45.225,False
13,9,46.694,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.066,0.010 | 6.673 | -0.042,0.303 | 6.342 | 0.029,-0.249 | 6.352 | 0.109,0.203 | 6.526 | -0.074,-0.197 | 6.545 | -0.010,20.453,20.286,2017-09-18 19:24:26,2,51
-0.066,0.010 | 6.673 | -0.041,0.299 | 6.341 | 0.031,-0.245 | 6.350 | 0.109,0.202 | 6.526 | -0.073,-0.195 | 6.545 | -0.009,20.106,20.074,2017-09-18 19:24:27,2,51
-0.066,0.010 | 6.673 | -0.041,0.289 | 6.338 | 0.034,-0.236 | 6.348 | 0.109,0.200 | 6.525 | -0.072,-0.192 | 6.544 | -0.008,19.248,19.494,2017-09-18 19:24:27,2,51
-0.066,0.010 | 6.673 | -0.041,0.285 | 6.336 | 0.036,-0.233 | 6.346 | 0.110,0.199 | 6.525 | -0.071,-0.190 | 6.543 | -0.008,18.618,18.991,2017-09-18 19:24:27,2,51
-0.066,0.010 | 6.673 | -0.041,0.283 | 6.336 | 0.036,-0.232 | 6.346 | 0.110,0.197 | 6.524 | -0.071,-0.189 | 6.543 | -0.008,18.324,18.660,2017-09-18 19:24:27,2,51
-0.065,0.009 | 6.673 | -0.041,0.301 | 6.341 | 0.029,-0.260 | 6.355 | 0.111,0.198 | 6.525 | -0.072,-0.192 | 6.544 | -0.007,19.134,18.899,2017-09-18 19:24:27,2,51
-0.065,0.009 | 6.673 | -0.041,0.404 | 6.398 | -0.022,-0.367 | 6.420 | 0.117,0.231 | 6.537 | -0.093,-0.226 | 6.562 | -0.003,29.224,27.797,2017-09-18 19:24:28,2,51
-0.066,0.010 | 6.673 | -0.040,0.438 | 6.424 | -0.038,-0.403 | 6.452 | 0.118,0.256 | 6.551 | -0.109,-0.249 | 6.580 | -0.002,36.579,35.441,2017-09-18 19:24:28,2,51
-0.066,0.012 | 6.673 | -0.040,0.448 | 6.430 | -0.038,-0.409 | 6.460 | 0.119,0.267 | 6.557 | -0.111,-0.255 | 6.587 | -0.002,38.767,38.422,2017-09-18 19:24:28,2,51
-0.066,0.012 | 6.673 | -0.039,0.450 | 6.431 | -0.037,-0.411 | 6.464 | 0.120,0.270 | 6.559 | -0.111,-0.256 | 6.588 | -0.001,39.073,39.323,2017-09-18 19:24:28,2,51
