Session: 147,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,18,Month:,Sep,Year:,2017
Track:,Forest,Speed:,medium,Time:,60 (sec),
Target Angle:,46,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,8,48.150,False
2,0,23.769,False
3,10,45.562,False
4,6,50.184,False
5,10,46.871,False
6,0,21.538,False
7,2,54.795,False
8,6,41.315,False
9,8,43.532,False
10,10,46.230,False
11,5,51.273,False
12,8,43.325,False
13,9,44.179,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.024,-0.020 | 6.669 | 0.054,0.454 | 6.456 | 0.091,-0.491 | 6.455 | 0.092,0.273 | 6.582 | 0.015,-0.321 | 6.600 | 0.025,50.395,49.413,2017-09-18 19:28:53,3,53
0.024,-0.020 | 6.669 | 0.054,0.452 | 6.454 | 0.091,-0.481 | 6.447 | 0.099,0.272 | 6.581 | 0.015,-0.315 | 6.592 | 0.025,47.814,49.067,2017-09-18 19:28:53,3,53
0.024,-0.020 | 6.669 | 0.054,0.452 | 6.454 | 0.090,-0.477 | 6.444 | 0.105,0.271 | 6.581 | 0.015,-0.310 | 6.587 | 0.027,46.119,48.935,2017-09-18 19:28:53,3,53
0.024,-0.020 | 6.669 | 0.054,0.453 | 6.455 | 0.089,-0.481 | 6.449 | 0.106,0.271 | 6.581 | 0.015,-0.309 | 6.586 | 0.029,45.564,48.894,2017-09-18 19:28:54,3,53
0.024,-0.020 | 6.669 | 0.054,0.453 | 6.455 | 0.089,-0.482 | 6.451 | 0.106,0.271 | 6.581 | 0.015,-0.309 | 6.586 | 0.029,45.562,48.889,2017-09-18 19:28:54,3,53
0.024,-0.020 | 6.669 | 0.054,0.453 | 6.455 | 0.088,-0.488 | 6.458 | 0.106,0.271 | 6.581 | 0.015,-0.310 | 6.587 | 0.030,45.901,48.859,2017-09-18 19:28:54,4,53
0.025,-0.020 | 6.669 | 0.055,0.453 | 6.455 | 0.088,-0.491 | 6.460 | 0.106,0.271 | 6.581 | 0.015,-0.311 | 6.589 | 0.031,46.285,48.829,2017-09-18 19:28:54,4,53
0.025,-0.020 | 6.669 | 0.055,0.424 | 6.425 | 0.098,-0.446 | 6.415 | 0.114,0.263 | 6.573 | 0.018,-0.301 | 6.579 | 0.034,42.677,46.040,2017-09-18 19:28:54,4,53
0.027,-0.020 | 6.669 | 0.056,0.353 | 6.370 | 0.117,-0.368 | 6.358 | 0.122,0.222 | 6.541 | 0.028,-0.264 | 6.551 | 0.042,31.394,32.643,2017-09-18 19:28:55,4,53
0.028,-0.020 | 6.669 | 0.057,0.312 | 6.353 | 0.134,-0.326 | 6.339 | 0.135,0.190 | 6.525 | 0.034,-0.242 | 6.538 | 0.048,25.195,23.686,2017-09-18 19:28:55,4,53
0.028,-0.019 | 6.669 | 0.057,0.300 | 6.348 | 0.145,-0.307 | 6.334 | 0.146,0.190 | 6.525 | 0.040,-0.231 | 6.534 | 0.052,22.271,23.587,2017-09-18 19:28:55,4,53
0.028,-0.018 | 6.669 | 0.056,0.294 | 6.344 | 0.147,-0.284 | 6.328 | 0.151,0.191 | 6.524 | 0.041,-0.219 | 6.531 | 0.055,19.315,23.725,2017-09-18 19:28:55,4,53
0.028,-0.018 | 6.669 | 0.056,0.289 | 6.341 | 0.146,-0.272 | 6.323 | 0.150,0.189 | 6.523 | 0.041,-0.212 | 6.528 | 0.057,17.360,23.252,2017-09-18 19:28:55,4,53
0.029,-0.018 | 6.669 | 0.057,0.287 | 6.340 | 0.146,-0.273 | 6.323 | 0.149,0.188 | 6.523 | 0.042,-0.211 | 6.527 | 0.056,17.234,22.822,2017-09-18 19:28:56,4,53
0.030,-0.018 | 6.669 | 0.057,0.296 | 6.342 | 0.142,-0.285 | 6.326 | 0.150,0.188 | 6.523 | 0.042,-0.214 | 6.528 | 0.057,18.280,22.849,2017-09-18 19:28:56,4,53
